DATE,CP0000USM086NEST
2001-12-01,74.09
2002-01-01,74.22
2002-02-01,74.39
2002-03-01,74.83
2002-04-01,75.34
2002-05-01,75.30
2002-06-01,75.34
2002-07-01,75.38
2002-08-01,75.60
2002-09-01,75.81
2002-10-01,75.93
2002-11-01,75.96
2002-12-01,75.73
2003-01-01,76.02
2003-02-01,76.74
2003-03-01,77.29
2003-04-01,77.04
2003-05-01,76.82
2003-06-01,76.93
2003-07-01,76.93
2003-08-01,77.27
2003-09-01,77.63
2003-10-01,77.43
2003-11-01,77.22
2003-12-01,77.11
2004-01-01,77.50
2004-02-01,78.00
2004-03-01,78.45
2004-04-01,78.70
2004-05-01,79.31
2004-06-01,79.61
2004-07-01,79.34
2004-08-01,79.34
2004-09-01,79.59
2004-10-01,80.16
2004-11-01,80.32
2004-12-01,79.94
2005-01-01,80.01
2005-02-01,80.44
2005-03-01,81.06
2005-04-01,81.87
2005-05-01,81.81
2005-06-01,81.78
2005-07-01,82.13
2005-08-01,82.72
2005-09-01,84.30
2005-10-01,84.41
2005-11-01,83.46
2005-12-01,82.95
2006-01-01,83.63
2006-02-01,83.69
2006-03-01,84.15
2006-04-01,85.03
2006-05-01,85.52
2006-06-01,85.64
2006-07-01,85.82
2006-08-01,86.01
2006-09-01,85.41
2006-10-01,84.63
2006-11-01,84.45
2006-12-01,84.61
2007-01-01,84.76
2007-02-01,85.16
2007-03-01,86.13
2007-04-01,86.85
2007-05-01,87.58
2007-06-01,87.67
2007-07-01,87.52
2007-08-01,87.26
2007-09-01,87.61
2007-10-01,87.80
2007-11-01,88.56
2007-12-01,88.46
2008-01-01,88.88
2008-02-01,89.12
2008-03-01,90.03
2008-04-01,90.77
2008-05-01,91.81
2008-06-01,92.96
2008-07-01,93.50
2008-08-01,93.00
2008-09-01,92.87
2008-10-01,91.59
2008-11-01,89.17
2008-12-01,87.95
2009-01-01,88.32
2009-02-01,88.84
2009-03-01,89.06
2009-04-01,89.34
2009-05-01,89.82
2009-06-01,90.84
2009-07-01,90.63
2009-08-01,90.92
2009-09-01,91.08
2009-10-01,91.25
2009-11-01,91.52
2009-12-01,91.35
2010-01-01,91.81
2010-02-01,91.85
2010-03-01,92.37
2010-04-01,92.58
2010-05-01,92.66
2010-06-01,92.53
2010-07-01,92.53
2010-08-01,92.70
2010-09-01,92.76
2010-10-01,92.89
2010-11-01,92.91
2010-12-01,93.09
2011-01-01,93.65
2011-02-01,94.24
2011-03-01,95.46
2011-04-01,96.29
2011-05-01,96.87
2011-06-01,96.66
2011-07-01,96.74
2011-08-01,97.00
2011-09-01,97.16
2011-10-01,96.85
2011-11-01,96.69
2011-12-01,96.32
2012-01-01,96.84
2012-02-01,97.37
2012-03-01,98.25
2012-04-01,98.59
2012-05-01,98.38
2012-06-01,98.17
2012-07-01,98.09
2012-08-01,98.65
2012-09-01,99.15
2012-10-01,98.99
2012-11-01,98.33
2012-12-01,97.97
2013-01-01,98.30
2013-02-01,99.26
2013-03-01,99.57
2013-04-01,99.38
2013-05-01,99.58
2013-06-01,99.88
2013-07-01,99.90
2013-08-01,99.94
2013-09-01,99.99
2013-10-01,99.58
2013-11-01,99.22
2013-12-01,99.13
2014-01-01,99.56
2014-02-01,100.04
2014-03-01,100.81
2014-04-01,101.18
2014-05-01,101.58
2014-06-01,101.77
2014-07-01,101.66
2014-08-01,101.37
2014-09-01,101.40
2014-10-01,100.95
2014-11-01,100.12
2014-12-01,99.29
2015-01-01,98.57
2015-02-01,99.09
2015-03-01,99.81
2015-04-01,100.01
2015-05-01,100.61
2015-06-01,100.98
2015-07-01,100.90
2015-08-01,100.61
2015-09-01,100.29
2015-10-01,100.14
2015-11-01,99.77
2015-12-01,99.23
2016-01-01,99.34
2016-02-01,99.35
2016-03-01,99.89
2016-04-01,100.43
2016-05-01,100.87
2016-06-01,101.22
2016-07-01,100.88
2016-08-01,100.87
2016-09-01,101.09
2016-10-01,101.11
2016-11-01,100.77
2016-12-01,100.73
2017-01-01,101.43
2017-02-01,101.79
2017-03-01,101.87
2017-04-01,102.22
2017-05-01,102.27
2017-06-01,102.29
2017-07-01,102.11
2017-08-01,102.42
2017-09-01,103.02
2017-10-01,102.78
2017-11-01,102.68
2017-12-01,102.54
2018-01-01,103.20
2018-02-01,103.75
2018-03-01,103.98
2018-04-01,104.44
2018-05-01,104.94
2018-06-01,105.08
2018-07-01,105.0
2018-08-01,104.97
2018-09-01,105.04
2018-10-01,105.17
2018-11-01,104.6
2018-12-01,104.08
2019-01-01,104.26
2019-02-01,104.75
2019-03-01,105.45
2019-04-01,106.09
2019-05-01,106.3
2019-06-01,106.23
2019-07-01,106.39
2019-08-01,106.28
2019-09-01,106.28
2019-10-01,106.5
2019-11-01,106.34
2019-12-01,106.15
2020-01-01,106.58
2020-02-01,106.9
